lang,author,period,year,title,n_ipi,best_model,weibull_loglik,weibull_aic,weibull_delta_aic,nbinom_loglik,nbinom_aic,nbinom_delta_aic,lognormal_loglik,lognormal_aic,lognormal_delta_aic,geometric_loglik,geometric_aic,geometric_delta_aic
nl,couperus,early,1889,Eline_Vere,38381,weibull,-100578.64541970508,201161.29083941015,0.0,-100664.45719333521,201332.91438667043,171.62354726027115,-106732.44412612953,213468.88825225906,12307.597412848903,-102028.02714908893,204058.05429817786,2896.763458767702
nl,couperus,middle,1900,Langs_lijnen,17440,weibull,-44847.66325572043,89699.32651144086,0.0,-44885.17226244759,89774.34452489518,75.01801345431886,-48075.615790302196,96155.23158060439,6455.905069163535,-45830.26319809309,91662.52639618618,1963.1998847453215
nl,couperus,late,1917,De_komedianten,28076,nbinom,-64977.09383821675,129958.1876764335,3.348035443908884,-64975.4198204948,129954.8396409896,0.0,-68358.63551512008,136721.27103024017,6766.431389250574,-64977.76736677653,129957.53473355305,2.695092563459184
en,dickens,early,1836,Pickwick_Papers,59169,lognormal,-156279.07819625642,312562.15639251284,6578.28716731444,-155707.570611379,311419.141222758,5435.271997559583,-152989.9346125992,305983.8692251984,0.0,-162375.15545323223,324752.31090646447,18768.441681266064
en,dickens,middle,1850,David_Copperfield,63079,lognormal,-168406.39147710538,336816.78295421076,2136.5330405945424,-167923.33631240478,335850.67262480955,1170.4227111933287,-167338.1249568081,334680.2499136162,0.0,-178535.47236496722,357072.94472993445,22392.694816318224
en,dickens,late,1865,Our_Mutual_Friend,54768,lognormal,-150464.53018336618,300933.06036673236,3353.2707243076875,-149825.41377686267,299654.82755372534,2075.037911300664,-148787.89482121234,297579.7896424247,0.0,-158193.6485119968,316389.2970239936,18809.507381568954
de,fontane,early,1882,L'Adultera,8226,nbinom,-21821.657428735496,43647.31485747099,142.9210145417601,-21750.196921464616,43504.39384292923,0.0,-22516.39688131985,45036.7937626397,1532.3999197104713,-23000.786044968267,46003.57208993653,2499.1782470073013
de,fontane,middle,1895,Effi_Briest,18086,nbinom,-47014.555379368874,94033.11075873775,341.60536568431417,-46843.75269652672,93691.50539305343,0.0,-48788.1567658219,97580.3135316438,3888.8081385903643,-50072.678903744476,100147.35780748895,6455.852414435518
de,fontane,late,1898,Der_Stechlin,23669,nbinom,-61268.2309311046,122540.4618622092,640.4001000385906,-60948.0308810853,121900.0617621706,0.0,-62410.15113181601,124824.30226363202,2924.2405014614196,-65796.33439223899,131594.66878447798,9694.607022307377
