lang,author,period,year,title,alpha_marginal,beta_marginal,alpha_min,alpha_max,alpha_range,beta_min,beta_max,beta_range,marg_loglik,cond_loglik,marg_aic,cond_aic,delta_aic,n_sym_used
de,fontane,early,1882,L'Adultera,1.5946881709556726,6.737507016838464,1.3886470665812027,1.7765773454223779,0.38793027884117515,4.956200621140459,7.281937248545697,2.325736627405238,-21821.657428735496,-21567.792849284742,43647.31485747099,43155.585698569485,-491.7291589015076,5
de,fontane,late,1898,Der_Stechlin,1.715581547185677,6.673470813038525,1.4969841961523802,2.026120333589154,0.529136137436774,4.991705337636118,7.254058781494675,2.262353443858557,-61268.2309311046,-61049.992309350695,122540.4618622092,122123.98461870139,-416.4772435078048,6
de,fontane,middle,1895,Effi_Briest,1.669313980862901,6.57503616968933,1.4255150954614668,2.057107546258277,0.6315924507968103,4.706060026721361,7.3732314373784416,2.6671714106570805,-47014.555379368874,-46670.416239121136,94033.11075873775,93364.83247824227,-668.2782804954768,6
en,dickens,early,1836,Pickwick_Papers,1.450197203975704,6.356837950824721,1.3508072410397212,1.891826072931563,0.5410188318918419,5.1949452272894,8.872261752311413,3.677316525022013,-156279.07819625642,-155250.18438244576,312562.15639251284,310524.3687648915,-2037.787627621321,6
en,dickens,late,1865,Our_Mutual_Friend,1.5634207580050075,7.404073601903315,1.4626966503743524,1.665981305433692,0.20328465505933968,6.252183797636861,8.392852233929702,2.1406684362928408,-150464.53018336618,-150278.47504098664,300933.06036673236,300580.9500819733,-352.11028475908097,6
en,dickens,middle,1850,David_Copperfield,1.6247218026958583,7.006776880862054,1.5331500941019192,1.880868810459728,0.3477187163578088,5.757554791855754,8.992612686511515,3.2350578946557613,-168406.39147710538,-167841.38237639022,336816.78295421076,335706.76475278044,-1110.0182014303282,6
nl,couperus,early,1889,Eline_Vere,1.2796082510557816,5.655142948076457,0.8025911668674095,1.8791232221707224,1.0765320553033129,3.743155902182222,8.182951023263758,4.439795121081536,-100578.64541970508,-95948.98232191121,201161.29083941015,191921.96464382243,-9239.326195587724,6
nl,couperus,late,1917,De_komedianten,0.9937439411785182,3.7010323766398145,0.6354014910695309,1.8712982005794154,1.2358967095098845,1.8689796211239489,7.204529410671507,5.335549789547558,-64977.09383821675,-60410.84325890352,129958.1876764335,120845.68651780704,-9112.501158626459,6
nl,couperus,middle,1900,Langs_lijnen,1.3579637753786975,5.545492262271143,0.9407283007454946,1.985526884246546,1.0447985835010516,4.292386030876737,7.114322447511185,2.821936416634448,-44847.66325572043,-43394.86319081541,89699.32651144086,86813.72638163083,-2885.600129810031,6
