lang,author,period,year,title,n_ipi,alpha_point,alpha_lo,alpha_med,alpha_hi,beta_point,beta_lo,beta_med,beta_hi,alpha_std,beta_std,n_valid_boot
de,fontane,early,1882,L'Adultera,8226,1.5946783836274139,1.561513625632505,1.5943577074708175,1.6244917838614008,6.737524024471415,6.644072196469931,6.738628069187821,6.824685082442713,0.015598688142337976,0.04912327840203047,300
de,fontane,late,1898,Der_Stechlin,23669,1.7155755114181894,1.6979492575889872,1.7161278710254408,1.7334791846375888,6.673449144435526,6.622579799506631,6.675307897625782,6.721493363440683,0.00965704313945377,0.026877782253068173,300
de,fontane,middle,1895,Effi_Briest,18086,1.6693210709176514,1.6486891220679802,1.6679019317118982,1.6920298614051783,6.575076098255138,6.50257753492433,6.573816915789343,6.631548871119779,0.012059180201644783,0.03209211743035593,300
en,dickens,early,1836,Pickwick_Papers,59169,1.450207195154545,1.424023990528462,1.4524072726779518,1.4690078081711255,6.356828114257444,6.323592556622377,6.358084564200766,6.396181105807289,0.012821301972441669,0.019251182290907862,300
en,dickens,late,1865,Our_Mutual_Friend,54768,1.563402021392257,1.5543732562596781,1.5631443332295576,1.5737801693599167,7.404101534396372,7.366523745229537,7.402905507594047,7.444636681255601,0.004958781987776681,0.020062681341342432,300
en,dickens,middle,1850,David_Copperfield,63079,1.6247242527389052,1.61404317907714,1.6249408038170126,1.6343833065310538,7.006812029011844,6.975111439400386,7.005988014499973,7.042938922894473,0.00497584341377271,0.018079594614252396,300
nl,couperus,early,1889,Eline_Vere,38381,1.2796110975331778,1.2682260518660173,1.2796319215309024,1.2912271776988204,5.655149532368695,5.608732729451478,5.656784202476487,5.707170662435235,0.005933600427337138,0.023963370654798023,300
nl,couperus,late,1917,De_komedianten,28076,0.9937488875682414,0.9815799262339631,0.9933693828181027,1.0047675270697982,3.701052668411908,3.6554677466946766,3.701319529298699,3.747353272210908,0.005952257506107759,0.023640608423348454,300
nl,couperus,middle,1900,Langs_lijnen,17440,1.3579530004281661,1.3386875720253648,1.358455443545541,1.3775786361858664,5.545468824438834,5.48526932900496,5.543180303063378,5.60435540619036,0.010056343659588273,0.03112835333904961,300
