lang,author,period,year,title,n_tokens,n_types,zm_alpha,zm_c,n_nodes,n_edges,avg_degree,avg_clustering,density,ipi_mean,ipi_median,weibull_disc_alpha,weibull_disc_beta,weibull_disc_loglik,weibull_cont_c,weibull_cont_scale,weibull_cont_ks_stat,weibull_cont_ks_p,pct_dot,pct_comma,pct_semicol,pct_colon,pct_question,pct_excl
en,dickens,early,1836,Pickwick_Papers,368578,20230,1.120412416692253,0.33087805204758863,20230,117126,11.579436480474543,0.5553139164572324,0.0005724176420225688,5.2289543510960135,4.0,1.4501962861040214,6.3568385525319995,-156279.07819627706,1.31162171752965,5.706963081485873,0.09681839170425593,0.0,5.291959910792288,8.851586367064773,0.9417273955580637,0.03906907086152728,0.515223371986391,0.4140236259353515
en,dickens,middle,1850,David_Copperfield,425336,18527,1.1927717281193286,0.23836159684479688,18527,119538,12.904193879203325,0.6194144116088176,0.0006965450652706102,5.742735300179141,5.0,1.6247229802578205,7.006777290642098,-168406.3914771292,1.475253401128985,6.377191303555727,0.076541337261542,5.83e-322,4.305067052871142,8.515150375232757,0.8195873380104199,0.10673914270129968,0.42366505539150223,0.6604190569338123
en,dickens,late,1865,Our_Mutual_Friend,389706,19182,1.198287615426371,3.761672833991027,19182,121678,12.686685434261287,0.5963535587807536,0.000661419395978379,6.115304557405785,5.0,1.5634222676445524,7.404078777515557,-150464.53018342378,1.4338966163059992,6.777106035759727,0.08057815966919202,2.023547110375844e-309,3.9983987929362135,8.079423976022952,0.4957583409031424,0.1431848624347585,0.7128450678203568,0.6243167926590815
