author,lang,early_vs_middle,middle_vs_late,early_vs_late
fontane,de,0.0018080764227125633,0.0017641737327287437,0.002627775111630786
dickens,en,0.0055939213219619805,0.0023605205548596084,0.009962411191335643
couperus,nl,0.002688280554999769,0.02791724040921287,0.025908579433549846
