lang,author,period,year,title,n_ipi,mean_K,std_K,burstiness_B,memory_M,weibull_alpha,weibull_beta
de,fontane,early,1882,L'Adultera,8226,5.5330658886457575,3.9695459041226093,-0.164535815902004,0.16675080672793172,1.5946881709556726,6.737507016838464
de,fontane,late,1898,Der_Stechlin,23669,5.4360133507964,3.666561733114946,-0.19439022489459398,0.1625969474947071,1.715581547185677,6.673470813038525
de,fontane,middle,1895,Effi_Briest,18086,5.369678204135796,3.6817310931192,-0.18648445292695984,0.1599594425039694,1.669313980862901,6.57503616968933
en,dickens,early,1836,Pickwick_Papers,59169,5.2289543510960135,4.355963530990475,-0.09107963478091918,0.1635449759331864,1.450197203975704,6.356837950824721
en,dickens,late,1865,Our_Mutual_Friend,54768,6.115304557405785,4.563144094739929,-0.14535449045343926,0.16198632106120864,1.5634207580050075,7.404073601903315
en,dickens,middle,1850,David_Copperfield,63079,5.742735300179141,4.106670519813824,-0.16610796735010408,0.16950890027232596,1.6247218026958583,7.006776880862054
nl,couperus,early,1889,Eline_Vere,38381,4.75829186316146,4.010923678819642,-0.08522634445052948,0.24539595575765613,1.2796082510557816,5.655142948076457
nl,couperus,late,1917,De_komedianten,28076,3.2335446644821197,3.5649972351882004,0.04875347914266053,0.2542544605089299,0.9937439411785182,3.7010323766398145
nl,couperus,middle,1900,Langs_lijnen,17440,4.601261467889908,3.67956148482742,-0.11130536038812845,0.287084946009185,1.3579637753786975,5.545492262271143
