lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
de,fontane,early,1882,L'Adultera,real,0,8226,1.5946881709556726,6.737507016838464,nbinom,142.9210145417601,2499.1782470073013,0.0,1532.3999197104713
de,fontane,early,1882,L'Adultera,shuffled,0,8226,1.0149560356925866,6.056579428470607,nbinom,0.236156066894182,0.8521822903858265,0.0,1427.1416391597013
de,fontane,early,1882,L'Adultera,shuffled,1,8226,1.001460147145211,6.024003980640256,geometric,1.9746020327147562,0.0,1.9272187526294147,1391.7493255890513
de,fontane,early,1882,L'Adultera,shuffled,2,8226,0.9956871783805878,6.008906712358205,geometric,1.7779477337608114,0.0,1.795295903502847,1434.9922846855188
de,fontane,early,1882,L'Adultera,shuffled,3,8226,1.0126690602834227,6.051398691032223,geometric,0.12755273697985103,0.0,0.32805765791999875,1434.2725911284942
de,fontane,early,1882,L'Adultera,shuffled,4,8226,1.0002617148630986,6.019418480519443,geometric,1.9991926208895165,0.0,1.9990244852306205,1524.107231965194
de,fontane,early,1882,L'Adultera,shuffled,5,8226,1.0089392678013571,6.042257580757427,geometric,1.054058721383626,0.0,0.9144101840793155,1340.8125059572558
de,fontane,early,1882,L'Adultera,shuffled,6,8226,1.0030583216976228,6.028243891285349,geometric,1.8893971752331709,0.0,1.9151431896389113,1414.4487739827528
de,fontane,early,1882,L'Adultera,shuffled,7,8226,1.0033536786013468,6.0274390569101,geometric,1.8664736628707033,0.0,1.8043239512335276,1393.921832991764
de,fontane,early,1882,L'Adultera,shuffled,8,8226,0.9920837841966706,5.998327950005501,geometric,1.2447899606777355,0.0,1.419113613308582,1389.6880465593713
de,fontane,early,1882,L'Adultera,shuffled,9,8226,1.0010944356587252,6.021709173434557,geometric,1.98575001124118,0.0,1.979490517602244,1382.8922831026139
de,fontane,early,1882,L'Adultera,shuffled,10,8226,1.0058717414693477,6.035298020570016,geometric,1.5898238572990522,0.0,1.449573384874384,1314.0820067598834
de,fontane,early,1882,L'Adultera,shuffled,11,8226,0.9863629619381113,5.983448739113328,weibull,0.0,0.26359357751061907,0.3023789917860995,1323.5257835208686
de,fontane,early,1882,L'Adultera,shuffled,12,8226,1.0065537753688387,6.035887176746151,geometric,1.4930180772498716,0.0,1.4665607812203234,1392.5445947354165
de,fontane,early,1882,L'Adultera,shuffled,13,8226,1.0051076629131859,6.03283694131448,geometric,1.6949043538188562,0.0,1.8296592477709055,1523.5774570956055
de,fontane,early,1882,L'Adultera,shuffled,14,8226,1.0038219987054675,6.0284865701749375,geometric,1.8278584455983946,0.0,1.8711018874309957,1454.7551140492142
de,fontane,early,1882,L'Adultera,shuffled,15,8226,0.9918429676142151,5.9970874613959415,geometric,1.1999589899423881,0.0,1.0840905607910827,1310.5434649990057
de,fontane,early,1882,L'Adultera,shuffled,16,8226,1.0072080068679408,6.037490927060688,geometric,1.3833380471623968,0.0,1.096306799649028,1368.2183771279088
de,fontane,early,1882,L'Adultera,shuffled,17,8226,0.997397286551527,6.012679239873215,geometric,1.9194490516892984,0.0,1.89574835444364,1436.3358201445444
de,fontane,early,1882,L'Adultera,shuffled,18,8226,1.0077171307548862,6.040169101998723,geometric,1.2914482271226007,0.0,0.9822439144409145,1312.1313166734253
de,fontane,early,1882,L'Adultera,shuffled,19,8226,0.982025533177368,5.9707196229898685,weibull,0.0,1.974138182020397,0.9704437065884122,1332.0016489199697
