lang,author,period,year,title,variant,n_reps,alpha_mean,alpha_std,alpha_lo,alpha_hi,beta_mean,beta_std,dominant_winner,geometric_win_pct,weibull_win_pct,nbinom_win_pct,lognormal_win_pct,mean_delta_aic_weibull,mean_delta_aic_geometric
de,fontane,early,1882,L'Adultera,real,1,1.5946881709556726,0.0,1.5946881709556726,1.5946881709556726,6.737507016838464,0.0,nbinom,0.0,0.0,100.0,0.0,142.9210145417601,2499.1782470073013
de,fontane,early,1882,L'Adultera,shuffled,50,0.9986733209524538,0.008317655269905359,0.9821474939921258,1.0120572881547931,6.015495599730124,0.021829272175734455,geometric,88.0,4.0,8.0,0.0,1.3944659667447559,0.2474539256504795
de,fontane,early,1882,L'Adultera,bernoulli,50,1.0032854537518905,0.009427516364837766,0.9878855177277769,1.0227606931367765,6.027337113782616,0.024403804941755917,geometric,76.0,12.0,12.0,0.0,1.2448968377198617,0.4143301370822883
de,fontane,late,1898,Der_Stechlin,real,1,1.715581547185677,0.0,1.715581547185677,1.715581547185677,6.673470813038525,0.0,nbinom,0.0,0.0,100.0,0.0,640.4001000385906,9694.607022307377
de,fontane,late,1898,Der_Stechlin,shuffled,50,1.0001640584900318,0.0058564503586842395,0.9891252949196758,1.0114414730278092,5.9227071967444465,0.015001385703821467,geometric,80.0,14.0,6.0,0.0,1.22415770604508,0.39234508986526634
de,fontane,late,1898,Der_Stechlin,bernoulli,50,1.0008475107322738,0.005535704881071215,0.991102675427789,1.0119786847101484,5.924397620501382,0.014098535368355857,geometric,82.0,6.0,12.0,0.0,1.2818361276027281,0.3486906399979489
de,fontane,middle,1895,Effi_Briest,real,1,1.669313980862901,0.0,1.669313980862901,1.669313980862901,6.57503616968933,0.0,nbinom,0.0,0.0,100.0,0.0,341.60536568431417,6455.852414435518
de,fontane,middle,1895,Effi_Briest,shuffled,50,1.000083332007651,0.00627471587374836,0.988923694826777,1.0096634404692635,5.85610029046286,0.015994198541815,geometric,86.0,6.0,8.0,0.0,1.217742431499937,0.24031955570942956
de,fontane,middle,1895,Effi_Briest,bernoulli,50,1.0007119157012518,0.004926188912269218,0.9918730763483301,1.0078887549932098,5.857841585668732,0.012406638822791922,geometric,96.0,2.0,2.0,0.0,1.472361919177347,0.11410038427595282
en,dickens,early,1836,Pickwick_Papers,real,1,1.450197203975704,0.0,1.450197203975704,1.450197203975704,6.356837950824721,0.0,lognormal,0.0,0.0,0.0,100.0,6578.28716731444,18768.441681266064
en,dickens,early,1836,Pickwick_Papers,shuffled,50,0.9997613096524225,0.0037649510319078972,0.9922007798535527,1.0053184631963914,5.713825050357935,0.009316246949927724,geometric,76.0,8.0,16.0,0.0,1.202283220969839,0.41332964070606976
en,dickens,early,1836,Pickwick_Papers,bernoulli,50,1.0003878384179574,0.0034882418132263547,0.9945408723201096,1.0069935067663849,5.715430073495197,0.008613581394307237,geometric,80.0,10.0,10.0,0.0,1.2272311731718946,0.2701009730307851
en,dickens,late,1865,Our_Mutual_Friend,real,1,1.5634207580050075,0.0,1.5634207580050075,1.5634207580050075,7.404073601903315,0.0,lognormal,0.0,0.0,0.0,100.0,3353.2707243076875,18809.507381568954
en,dickens,late,1865,Our_Mutual_Friend,shuffled,50,0.9997566022315687,0.0031429358840673245,0.9946627325297394,1.0055818894685797,6.601985072472367,0.0089363463012795,geometric,86.0,6.0,8.0,0.0,1.325497682967689,0.12302041784278117
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,50,1.0002955003259713,0.0037039031872312185,0.9941471554085848,1.0073886568320063,6.6035114118064335,0.010516580180650013,geometric,76.0,6.0,18.0,0.0,1.3159416615858208,0.4212245274730958
en,dickens,middle,1850,David_Copperfield,real,1,1.6247218026958583,0.0,1.6247218026958583,1.6247218026958583,7.006776880862054,0.0,lognormal,0.0,0.0,0.0,100.0,2136.5330405945424,22392.694816318224
en,dickens,middle,1850,David_Copperfield,shuffled,50,0.9992488182906867,0.003263293934580976,0.9933701229036274,1.004967136540376,6.227299709184645,0.008830674583875316,geometric,78.0,10.0,12.0,0.0,1.2698390883533284,0.2997816362325102
en,dickens,middle,1850,David_Copperfield,bernoulli,50,1.0003184905293587,0.0036417329877003546,0.995021136887113,1.008538935868895,6.2301544830789535,0.009743475422720034,geometric,82.0,4.0,14.0,0.0,1.2224553881911562,0.441202299548313
nl,couperus,early,1889,Eline_Vere,real,1,1.2796082510557816,0.0,1.2796082510557816,1.2796082510557816,5.655142948076457,0.0,weibull,0.0,100.0,0.0,0.0,0.0,2896.763458767702
nl,couperus,early,1889,Eline_Vere,shuffled,50,1.0005664614813277,0.004405023694699672,0.9907082316190635,1.0073875854576282,5.243745425071933,0.01012908969670064,geometric,80.0,10.0,10.0,0.0,1.2270457572443412,0.2985477934277151
nl,couperus,early,1889,Eline_Vere,bernoulli,50,1.0002438007873278,0.004281362630867842,0.9930478579819602,1.0081235947590603,5.243013735935881,0.009839210924078919,geometric,82.0,10.0,8.0,0.0,1.2771177688386524,0.27637419025064447
nl,couperus,late,1917,De_komedianten,real,1,0.9937439411785182,0.0,0.9937439411785182,0.9937439411785182,3.7010323766398145,0.0,nbinom,0.0,0.0,100.0,0.0,3.348035443908884,2.695092563459184
nl,couperus,late,1917,De_komedianten,shuffled,50,0.9998333410628587,0.004432955367017054,0.9925627155251595,1.0076786709526975,3.711091637689853,0.007292546231035557,geometric,90.0,2.0,8.0,0.0,1.3170689859963023,0.044937930473824966
nl,couperus,late,1917,De_komedianten,bernoulli,50,0.9998170142946979,0.0047598987511003835,0.9883343726072288,1.0075900068226304,3.711055846725982,0.007858663701090248,geometric,84.0,2.0,14.0,0.0,1.439844245094864,0.2832671548600774
nl,couperus,middle,1900,Langs_lijnen,real,1,1.3579637753786975,0.0,1.3579637753786975,1.3579637753786975,5.545492262271143,0.0,weibull,0.0,100.0,0.0,0.0,0.0,1963.1998847453215
nl,couperus,middle,1900,Langs_lijnen,shuffled,50,1.0017307202416832,0.006570174080863053,0.9908633660289441,1.0139623922813654,5.088852954140168,0.014308007830701493,geometric,78.0,8.0,14.0,0.0,1.264828668005939,0.3838938331080135
nl,couperus,middle,1900,Langs_lijnen,bernoulli,50,1.0015736142599043,0.00662430761884399,0.9895874514756634,1.0139008554026225,5.088409267985886,0.014684503524942896,geometric,80.0,10.0,10.0,0.0,1.2244402822013944,0.3570332260601572
