lang,author,intra_jsd_mean,intra_jsd_max,inter_jsd_mean,inter_jsd_max,ratio_inter_over_intra
nl,couperus,0.003668377135122389,0.008722193482934905,0.01883803346592083,0.02791724040921287,5.135249940786781
en,dickens,0.0010450363337775415,0.0018806525094711612,0.00597228435605241,0.009962411191335643,5.714905944431727
de,fontane,0.002264050554210819,0.006642045304306778,0.0020666750890240312,0.002627775111630786,0.9128219708611645
